t,y,u,ref,a1_est,a2_est,b1_est,b2_est,r1,r2,r3,s0,s1,s2,t0
0.0,0.1,36.67736036488241,0.0,-2.006320008667282,1.0,-0.0002928370247095777,-0.0002928370247095777,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.02,0.09312797334773609,8.53996255732396,0.05,-2.006320008667282,1.0,-0.0002928370247095777,-0.0002928370247095777,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.04,0.07797394740932599,-1.5008462443891788,0.05,-2.006320008667282,1.0,-0.0002928370247095777,-0.0002928370247095777,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.06,0.061920179163376346,-3.577325771964319,0.05,-2.0063202956798776,0.9999996918083952,-0.00026651757705232056,-0.00017980047919193893,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.08,0.047245445298976584,-3.7670324755993136,0.05,-2.006319001138299,1.0000012907993918,-0.000192953534723205,-0.0001969227734216822,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.1,0.034305763455289226,-3.634472087838368,0.05,-2.006319001138299,1.0000012907993918,-0.000192953534723205,-0.0001969227734216822,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.12,0.023033545315976126,-3.3955693841659476,-0.05,-2.006319001138299,1.0000012907993918,-0.000192953534723205,-0.0001969227734216822,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.14,0.013286741593634,-3.144568545383048,-0.05,-2.006319001138299,1.0000012907993918,-0.000192953534723205,-0.0001969227734216822,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.16,0.004909080007376504,-2.90362308827922,-0.05,-2.006319001138299,1.0000012907993918,-0.000192953534723205,-0.0001969227734216822,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.18,-0.002247869584873989,-2.676281253137449,-0.05,-2.006319001138299,1.0000012907993918,-0.000192953534723205,-0.0001969227734216822,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
